ref_code,piece_type,piece_name,piece_brand,vehicle_make,vehicle_model,detail_ht
GREIBZ,Grille,GRILLE PARCHOC AV IBIZA 2012,,SEAT,Ibiza,4300.0
GRILC-IL,Grille,GRILLE PARCHOC C-ELYSSE,,,nan,3500.0
161020,Grille,GRILLE PARCHOC CLIO 4,ROOT,Renault,Clio 4,5500.0
PU-RCP1,Grille,GRILLE PARCHOC CLIO CAMPUS 09,,Renault,Clio,5900.0
AHO721-001,Grille,GRILLE PARCHOC CLIO CAMPUS 09-12,,Renault,Clio,3500.0
1PU-DA-LG-2,Grille,GRILLE PARCHOC LOGAN 09,,Dacia,Logan,2500.0
PEJ07PR047,Grille,GRILLE PARCHOC PARTNER 15 A/CAPTURE,DEGA,Peugeot,Partner,4200.0
PEJ07PR042,Grille,GRILLE PARCHOC PARTNER 15 S/CAPTURE,DEGA,Peugeot,Partner,4500.0
1PU-PT15,Grille,GRILLE PARCHOC PARTNER/BERLINGO 15,,Peugeot / Citroën,Partner / Berlingo,4500.0
6Q0,Grille,GRILLE PARCHOC POLO 05/10,,Volkswagen,Polo,2800.0
6R0853671,Grille,GRILLE PARCHOC POLO 09 A/CHOMI,,Volkswagen,Polo,4500.0
FTB7001693R,Grille,GRILLE PARCHOC SANDERO STEPWAY 2017,FTB,Dacia,Sandero Stepway / Sandero,3500.0
REN07CL046,Grille,GRILLE PARCHOC SYMBOL 09 FERME,DEGA,Renault,Symbol,3500.0
REN07CL047,Grille,GRILLE PARCHOC SYMBOL 09 OUVERT,DEGA,Renault,Symbol,3500.0
FTB7003229R,Grille,GRILLE PARCHOC SYMBOL 14 -16,,Renault,Symbol,3500.0
REN07CL220,Grille,GRILLE PARCHOC SYMBOL 17,DEGA,Renault,Symbol,4500.0
RS-579-562,Grille,GRILLE SYMBOL 13,,Renault,Symbol,3500.0
BZWD070A02,Jante,JANTE RENAULT 13/ 13*5,,,nan,5500.0
BZW005,Jante,JANTE RENAULT 14* 14*5 1/2 J,,,nan,6000.0
BZW082A04,Jante,JANTE RENAULT 15* 15*16,,,nan,6500.0
19507,Joint,JOINT MALL AM JMAM,,,nan,400.0
JMNM,Joint,JOINT MALL N/M,,,nan,900.0
19501,Joint,JOINT PORT AM JPAM,,,nan,400.0
JPNM,Joint,JOINT PORT N/M,,,nan,850.0
PHILIPS,Lampe,LAMPA H1,,,nan,500.0
NARVA,Lampe,LAMPA H27,,,nan,2500.0
STANDARD,Lampe,LAMPA H27W/2 ANTBER,,,nan,800.0
PHILIPS,Lampe,LAMPA H4,,,nan,850.0
PHILIPS,Lampe,LAMPA H7,,,nan,600.0
JN-B-018,Lampe,LAMPE MATRCULLE PARTNER B9-EXPER 3,,Peugeot,Partner,2200.0
LAVG,Lave-glace,LAVE GLACE,3-MAX,,nan,0.0
LAVG,Lave-glace,LAVE GLACE,3-MAX,,nan,300.0
LE308,LED,LED 308 PARTNER 08 B9,,Peugeot,Partner / 308,4500.0
LIQ-1,Liquide,LIQUIDE DE REFROIDISSEMENT - 1,3-MAX,,nan,300.0
LIQ-2,Liquide,LIQUIDE DE REFROIDISSEMENT - 2,3-MAX,,nan,600.0
LIQ-5,Liquide,LIQUIDE DE REFROIDISSEMENT - 5,3-MAX,,nan,850.0
PEJ0725001,Pare-choc,PARCHOC 205 EUROB,,Peugeot,205,4000.0
PG-206-03,Pare-choc,PARCHOC 206 NV A/A CH,,Peugeot,206,8500.0
LHT-2002-P,Pare-choc,PARCHOC 206 PLUS 12 APPRET S/ANTI LM,,Peugeot,206,7500.0
LHT-2033-P,Pare-choc,PARCHOC 206 S/ANTI APPRET VIDE LM,,Peugeot,206,5800.0
PH207,Pare-choc,PARCHOC 207 10,,Peugeot,207,14500.0
PH207S,Pare-choc,PARCHOC 207 SPORT,,Peugeot,207,17500.0
PH208-12,Pare-choc,PARCHOC 208 12 NOIR,,Peugeot,208,10500.0
P1-20812,Pare-choc,PARCHOC 208 12 NOIR,Pulo,Peugeot,208,15500.0
P120815Q,Pare-choc,PARCHOC 208 15 NOIR,Pulo,Peugeot,208,16500.0
PEJ0791001,Pare-choc,PARCHOC 301 12,,Peugeot,301,9500.0
PEJ03700ST,Pare-choc,PARCHOC 307 01 EUROB,,Peugeot,307,7500.0
FT06-0307F,Pare-choc,PARCHOC 405,,Peugeot,405,8500.0
FT-04-0407,Pare-choc,PARCHOC ACCENT 00 S/T,CHINE,Hyundai,Accent,6000.0
LJH02,Pare-choc,PARCHOC ACCENT GLS 2000+ AV,CHINE,Hyundai,Accent,5500.0
P2-30113,Pare-choc,PARCHOC AR 301 12 -22,Pulo,Peugeot,301,13500.0
PG120020000,Pare-choc,PARCHOC AR 301 12 NOIR,,Peugeot,301,11000.0
HY109-30A-AS,Pare-choc,PARCHOC AR ACCENT 12 4P RB,,Hyundai,Accent,11500.0
CV002020S00,Pare-choc,PARCHOC AR AVEO 07 NOIR,,Chevrolet,Aveo,8500.0
P2-RE1,Pare-choc,PARCHOC AR EXPRESS 85-91,Pulo,Renault,Express,10800.0
02/5051H,Pare-choc,PARCHOC AR GOLF4,,Volkswagen,Golf 4,9500.0
02/5051,Pare-choc,PARCHOC AR GOLF4 97-03 APRET,ITALI,Volkswagen,Golf 4,8500.0
REN07CL045,Pare-choc,PARCHOC AR SYMBOL 09 NOIR,,Renault,Symbol,10200.0
REN07CL103T,Pare-choc,PARCHOC AR SYMBOL LOGAN 13 EUROB,,Renault / Dacia,Symbol / Logan,11000.0
PAGOLF,Pare-choc,PARCHOC ARR GOLF6,,Volkswagen,Golf 6,11900.0
8009C,Pare-choc,PARCHOC ARRIER AVEO3 07,,,nan,7800.0
6R083677,Pare-choc,PARCHOC ARRIER POLO 2009 CH,,Volkswagen,Polo,10500.0
3309,Pare-choc,PARCHOC ARRIER SAIL 10,,Chevrolet,Sail,9500.0
F01-3008,Pare-choc,PARCHOC ATOS 05,,Hyundai,Atos,7000.0
02/4017,Pare-choc,PARCHOC AV 205 NOIR,ITALI,Peugeot,205,3000.0
PEJ0726006T,Pare-choc,PARCHOC AV 206 98 A/T,Pulo,Peugeot,206,6500.0
PEJ072600STP,Pare-choc,PARCHOC AV 206 98-06 CMPLET S/ANTI APPRT EUROB,,Peugeot,206,7800.0
PG112000020,Pare-choc,PARCHOC AV 207 09 A/T A/APPRE,,Peugeot,207,17000.0
111.09.9120,Pare-choc,PARCHOC AV 207 09 A/T A/APPRE 207-09200,Pulo,Peugeot,207,24000.0
P1-20812S-P,Pare-choc,PARCHOC AV 208 12 A/CAPTURE APPRET TW,Pulo,Peugeot,208,9500.0
P1-20812-P,Pare-choc,PARCHOC AV 208 12 A/CAPTURE NOIR TW,Pulo,Peugeot,208,9000.0
P1-30113,Pare-choc,PARCHOC AV 301 12 NOIR,Pulo,Peugeot,301,12500.0
P1-30117,Pare-choc,PARCHOC AV 301 17 NOIR,Pulo,Peugeot,301,16800.0
09-0701,Pare-choc,PARCHOC AV 301 COMPLET,,Peugeot,301,17500.0
02/4070,Pare-choc,PARCHOC AV 307 01-05GRIS,ITALI,Peugeot,307,9000.0
